date, Time, Sec since start, Connected, Data changed, GyroSensor.temperature, GyroSensor.x, GyroSensor.y, GyroSensor.z
2013-12-22, 17:39:54.871, 2156.47, 1, 1, -0.105884552, 1.310975671, 0.4268291295, -1.829268336
2013-12-22, 17:39:55.71, 2156.67, 1, 1, -0.01176452637, 1.036585331, 0.4573169351, -1.79878056
2013-12-22, 17:39:55.271, 2156.87, 1, 1, -0.01176452637, 1.097561002, 0.4268291295, -1.768292665
2013-12-22, 17:39:55.471, 2157.07, 1, 1, -0.01176452637, 1.067073226, 0.3963412941, -1.951219559
2013-12-22, 17:39:55.671, 2157.27, 1, 1, 0.08235168457, 1.189024448, 0.3658535182, -1.859756112
2013-12-22, 17:39:55.871, 2157.47, 1, 1, 0.08235168457, 1.006097555, 0.3963413239, -1.859756112
2013-12-22, 17:39:56.71, 2157.67, 1, 1, 0.08235168457, 0.9451220036, 0.4573169351, -1.768292665
2013-12-22, 17:39:56.271, 2157.87, 1, 1, 0.1764717102, 1.158536673, 0.3963413239, -1.707317114
2013-12-22, 17:39:56.471, 2158.07, 1, 1, 0.1764717102, 1.097561002, 0.5487803221, -1.79878056
2013-12-22, 17:39:56.671, 2158.27, 1, 1, 0.1764717102, 1.097561002, 0.5487803221, -1.951219559
2013-12-22, 17:39:56.871, 2158.47, 1, 1, 0.1764717102, 1.006097555, 0.4268290997, -2.042682886
2013-12-22, 17:39:57.71, 2158.67, 1, 1, 0.1764717102, 1.128048778, 0.4268290997, -1.951219559
2013-12-22, 17:39:57.271, 2158.87, 1, 1, 0.2705879211, 1.280487776, 0.4573169053, -1.920731783
2013-12-22, 17:39:57.471, 2159.07, 1, 1, 0.1764717102, 1.371951222, 0.4573169351, -1.859756112
2013-12-22, 17:39:57.671, 2159.27, 1, 1, 0.2705879211, 0.9756097794, 0.5182924867, -1.920731783
2013-12-22, 17:39:57.871, 2159.47, 1, 1, 0.2705879211, 1.006097555, 0.3963413239, -1.859756112
2013-12-22, 17:39:58.79, 2159.68, 1, 1, 0.3647041321, 0.9756097794, 0.4268290997, -1.951219559
2013-12-22, 17:39:58.271, 2159.87, 1, 1, 0.3647041321, 1.310975671, 0.4573169053, -2.01219511
2013-12-22, 17:39:58.471, 2160.07, 1, 1, 0.3647041321, 1.158536673, 0.5182925463, -1.646341562
2013-12-22, 17:39:58.672, 2160.27, 1, 1, 0.3647041321, 0.9756097794, 0.4268291295, -1.73780489
2013-12-22, 17:39:58.871, 2160.47, 1, 1, 0.4588241577, 1.067073226, 0.3963413239, -1.585365891
2013-12-22, 17:39:59.71, 2160.67, 1, 1, 0.5529403687, 0.9756097794, 0.3963413239, -1.829268336
2013-12-22, 17:39:59.271, 2160.87, 1, 1, 0.5529403687, 1.25, 0.3353657126, -1.859756112
